Dataset,Modelo,Explicador,Node,Mean Fidelity,Std Fidelity,Min Fidelity,Max Fidelity
PubMed,GCN,GNNExplainer,5406.0,0.005598783493041992,0.0026958399046070423,0.003222167491912842,0.00936877727508545
PubMed,GCN,GNNExplainer,4928.0,0.01787040630976359,0.006341791726921907,0.011191129684448242,0.026393473148345947
PubMed,GCN,GNNExplainer,3063.0,0.023216267426808674,0.01864486169328946,0.0034199953079223633,0.048198401927948
PubMed,GCN,GNNExplainer,16231.0,0.16560043891270956,0.04401858484431418,0.12290710210800171,0.2261824607849121
PubMed,GCN,GNNExplainer,2232.0,0.02263037363688151,0.009986955095707116,0.013057529926300049,0.03641009330749512
PubMed,GCN,GNNExplainer,14908.0,0.09421501557032268,0.025244193561495147,0.058575987815856934,0.11385077238082886
PubMed,GCN,GNNExplainer,16323.0,0.18377893169720969,0.03621970119009717,0.14587688446044922,0.2325691282749176
PubMed,GCN,GNNExplainer,19679.0,0.05863314867019653,0.0186526606463697,0.032337069511413574,0.07358944416046143
PubMed,GCN,GNNExplainer,12013.0,0.020142078399658203,0.002280106810354816,0.017354249954223633,0.022939324378967285
PubMed,GCN,GNNExplainer,1879.0,0.14464538296063742,0.009490018132486013,0.13145232200622559,0.15337452292442322
PubMed,GCN,GNNExplainer,13008.0,0.009042302767435709,0.007123546440049838,0.003265202045440674,0.019078314304351807
PubMed,GCN,GNNExplainer,9287.0,0.24862969915072122,0.06407828656528301,0.15927737951278687,0.3063887655735016
PubMed,GCN,GNNExplainer,665.0,0.12709009647369385,0.1192507706477827,0.036019861698150635,0.2955511212348938
PubMed,GCN,GNNExplainer,623.0,0.00485759973526001,0.003313127622506502,0.0009589791297912598,0.00905764102935791
PubMed,GCN,GNNExplainer,2031.0,0.0014156301816304524,0.00033737840242364415,0.0010619163513183594,0.001869797706604004
PubMed,GAT,GNNExplainer,14511.0,0.01326976219813029,0.005774586679538905,0.00814145803451538,0.021337926387786865
PubMed,GAT,GNNExplainer,2480.0,0.12729977567990622,0.03363677088725208,0.08037984371185303,0.15754491090774536
PubMed,GAT,GNNExplainer,532.0,0.030231575171152752,0.013019489716205215,0.01363295316696167,0.04543197154998779
PubMed,GAT,GNNExplainer,16804.0,0.06064536174138387,0.008661402313380601,0.048418283462524414,0.06739431619644165
PubMed,GAT,GNNExplainer,6235.0,0.032402098178863525,0.006567709728801551,0.02561807632446289,0.04128819704055786
PubMed,GAT,GNNExplainer,5538.0,0.03352586428324381,0.026447311908174866,0.012694716453552246,0.07084381580352783
PubMed,GAT,GNNExplainer,5038.0,0.029633551836013794,0.01242387580215541,0.016933947801589966,0.04649853706359863
